"SAMPLE_ID","NOMINAL_TAXON","LAT","LON","MORPHOLOGICAL_TAXON","OPERATIONAL_TAXON","INCIPIENT_TAXON","THRESHOLD_TAXON","CYTB","SQCL","ddRAD","ddRAD_SRA","sqcl_SRA","CYTB_genbank"
"WAMR_157132_Ct_pian","Ctenotus_duricola",-22.686,120.2467,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V2","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115851",NA,"KJ505579.1"
"WAMR_157566_Ct_duri","Ctenotus_pallasotus",-21.674,115.8892,"Ctenotus_duricola","Ctenotus_pallasotus","Ctenotus_pallasotus_V2","Ctenotus_sp42",TRUE,TRUE,TRUE,"SRS2115847","SRR31065869","KJ505340.1"
"WAMR_158107_Ct_duri","Ctenotus_duricola",-22.467,119.023,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V2","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115844",NA,"KJ505341.1"
"WAMR_160095_Ct_duri","Ctenotus_duricola",-21.304,121.2,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V2","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115836",NA,"KJ505345.1"
"WAMR_161462_Ct_duri","Ctenotus_duricola",-20.935,119.858,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V2","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115835",NA,"KJ505352.1"
"WAMR_161702_Ct_duri","Ctenotus_duricola",-20.261,119.42,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115834",NA,"KJ505354.1"
"WAMR_162334_Ct_duri","Ctenotus_duricola",-22.095,119.753,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V2","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115833",NA,"KJ505355.1"
"WAMR_163003_Ct_duri","Ctenotus_superciliaris",-22.103889,115.567778,"Ctenotus_duricola","Ctenotus_superciliaris_E","Ctenotus_superciliaris_E_V2","Ctenotus_sp8",TRUE,FALSE,TRUE,"SRS2115832",NA,"KJ505356.1"
"WAMR_166170_Ct_duri","Ctenotus_duricola",-21.954,120.1219,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505358.1"
"WAMR_166508_Ct_duri","Ctenotus_duricola",-21.659,121.2417,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505359.1"
"WAMR_170291_Ct_duri","Ctenotus_pallasotus",-23.34,117.801,"Ctenotus_duricola","Ctenotus_pallasotus","Ctenotus_pallasotus_V3","Ctenotus_sp42",TRUE,FALSE,TRUE,"SRS2115824",NA,"KJ505362.1"
"WAMR_170467_Ct_duri","Ctenotus_duricola",-23.499,120.291,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V2","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115822",NA,"KJ505363.1"
"WAMR_170880_Ct_duri","Ctenotus_duricola",-21.237,119.408,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V1","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115821",NA,"KJ505368.1"
"WAMR_110053_Ct_duri","Ctenotus_pallasotus",-20.94,117.035,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505288.1"
"WAMR_110187_Ct_duri","Ctenotus_pallasotus",-21.54,117.057,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505308.1"
"WAMR_111876_Ct_duri","Ctenotus_duricola",-23.392,120.522,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505311.1"
"WAMR_111889_Ct_duri","Ctenotus_pallasotus",-23.381,120.252,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505312.1"
"WAMR_159950_Ct_duri","Ctenotus_duricola",-20.95,117.85,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505342.1"
"WAMR_159964_Ct_duri","Ctenotus_duricola",-20.48,118.04,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505343.1"
"WAMR_160055_Ct_duri","Ctenotus_piankai",-21.296,121.264,"Ctenotus_piankai","Ctenotus_piankai",NA,"Ctenotus_sp43",TRUE,FALSE,FALSE,NA,NA,"KJ505344.1"
"WAMR_160163_Ct_duri","Ctenotus_duricola",-21.48,120.091,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505346.1"
"WAMR_161003_Ct_duri","Ctenotus_pallasotus",-21.063,116.234,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505347.1"
"WAMR_161147_Ct_duri","Ctenotus_duricola",-22.691,119.775,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505348.1"
"WAMR_161238_Ct_duri","Ctenotus_duricola",-20.92,117.861,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505349.1"
"WAMR_161378_Ct_duri","Ctenotus_duricola",-20.852,119.593,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505350.1"
"WAMR_161400_Ct_duri","Ctenotus_duricola",-20.896,119.602,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505351.1"
"WAMR_161625_Ct_duri","Ctenotus_duricola",-20.324,118.922,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505353.1"
"WAMR_163137_Ct_duri","Ctenotus_duricola",-22.419,115.838,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505357.1"
"WAMR_170013_Ct_duri","Ctenotus_duricola",-21.128,118.689,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505360.1"
"WAMR_170219_Ct_duri","Ctenotus_duricola",-22.72,117.511,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505361.1"
"WAMR_170489_Ct_duri","Ctenotus_duricola",-22.516,120.659,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505364.1"
"WAMR_170638_Ct_duri","Ctenotus_duricola",-21.732,115.807,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505365.1"
"WAMR_170727_Ct_duri","Ctenotus_pallasotus",-21.633,116.492,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505366.1"
"WAMR_170844_Ct_duri","Ctenotus_duricola",-21.156,119.356,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505367.1"
"CUMV_14357_Ct_dux","Ctenotus_dux",-26.226,121.5575,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V1","Ctenotus_sp51",TRUE,TRUE,TRUE,"SRS2115810","SRS4312601","PQ522797"
"CUMV_14361_Ct_dux","Ctenotus_dux",-26.226,121.5575,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"PQ522798"
"CUMV_14362_Ct_dux","Ctenotus_dux",-26.226,121.5575,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V1","Ctenotus_sp51",TRUE,TRUE,TRUE,"SRS2115809","SRS4312608","PQ522799"
"CUMV_14363_Ct_dux","Ctenotus_dux",-26.226,121.5575,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"PQ522800"
"CUMV_14364_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115808",NA,"KJ505373.1"
"CUMV_14365_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,TRUE,TRUE,"SRS2115807","SRR31065793","KJ505374.1"
"CUMV_14366_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115806",NA,"KJ505375.1"
"CUMV_14367_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505376.1"
"CUMV_14368_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505377.1"
"CUMV_14369_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115805",NA,"KJ505378.1"
"CUMV_14370_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115804",NA,"KJ505369.1"
"CUMV_14371_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505370.1"
"CUMV_14373_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115803",NA,"KJ505371.1"
"CUMV_14374_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115802",NA,"KJ505372.1"
"CUMV_14375_Ct_dux","Ctenotus_dux",-28.133,123.8667,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505379.1"
"CUMV_14805_Ct_dux","Ctenotus_dux",-26.226,121.5575,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"PQ522801"
